geography,subsector,elec_heating,elec_cooling,ng_heating
middle_atlantic,health_care,-0.010389597,0.002535819,0.004836733
middle_atlantic,office_large,-0.011310743,0.002888014,-0.006562156
middle_atlantic,office_small,-0.009585309,-5.58714E-4,-0.004461301
pacific,health_care,-0.010151927,0.006542969,0.003728337
pacific,office_large,-0.013930149,0.00582742,-0.006973851
pacific,office_small,-0.009301015,0.004826599,-0.002338762
